HDBID,Database Item URL,Collectible URL,Image URL,Name,Sale Title,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,Estimated Value,Item Condition,Condition Notes,Grading Company,Grade,Grade Authenticity Number,More Details,Quantity,HDBC Number,Storage Location,Paused,Final Price,Put on Sale Date,Selling Format,List Name,List Id,Private Notes,Description,Date Added To Collectible,Date Purchased,Packaging Condition,Privacy,Price Paid,Acquired From
675011,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/675011"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/70416483"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1339223/Sorcerer_Mickey_%2528Diamond%2529_Vinyl_Art_Toys_c2a435d3-84b5-4f1b-a87c-f20f486a5313.png,Sorcerer Mickey,Sorcerer Mickey,"Pop! Disney, Pop! Vinyl, Diamond Collection",Funko,Funko Shop,889698551670,2021/4,Exclusive,,990,28.0,Mint,,,,,,2,HDBC70416483,,,,,,Animation,2436243,,,2026-06-26,,Mint,Public,,
711141,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/711141"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671504"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/2862632/Casey_Jones_Art_Toys_6393113c-85d4-4bf9-bcbc-079910584d88(2).png,Casey Jones,,"Pop! Vinyl, Pop! Digital, Teenage Mutant Ninja Turtles X Funko Series 1",Funko,Droppp,889698626187,2021/8/3,"Exclusive, Limited Edition","3.75""",03,180.0,Mint,,,,,,1,HDBC57671504,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
692091,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/692091"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/64468818"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3495294/Ahsoka_Art_Toys_b72ef463-a0e7-40f5-bc56-7f7fc91a87b8(2).png,Ahsoka,Ahsoka,"Pop! Vinyl, Pop! Star Wars",Funko,,889698582858,2021/10,Exclusive,"3.75""",467,14.0,Mint,,,,,,4,HDBC64468818,,,,,,Starwars,2108149,,,2024-09-09,,Mint,Public,,
727123,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/727123"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/45349979"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1038114/Wonder_Woman_%2528Black_and_White%2529_Vinyl_Art_Toys_e706be19-a08a-4234-8126-72e3b1f0d540.jpg,Wonder Woman,,"Pop! Heroes, Imperial Palace Series",Funko,,889698643573,2021/9,"Exclusive, Limited Edition","3.75""",378,33.0,Mint,,,,,,1,HDBC45349979,,,,,,,,,,2021-12-08,,Mint,Public,,
806413,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/806413"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671714"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1201283/Painted_Lady_Vinyl_Art_Toys_9a3a0876-ec84-44bb-b756-d55447111444.png,Painted Lady,,"Pop! Vinyl, Pop! Digital, Avatar Legends x Funko Series 1",Funko,Droppp,889698685177,2022/8/9,"Exclusive, Limited Edition","3.75""",54,210.0,Mint,,,,,,1,HDBC57671714,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
810339,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/810339"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671724"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1217447/Ranger_Slayer_Vinyl_Art_Toys_51998feb-3126-4665-b408-1232a3004674.png,Ranger Slayer,,"Pop! Vinyl, Pop! Digital, Power Rangers X Funko Series 1",Funko,NFT Redeemable,889698701976,2022/8/23,"Exclusive, Limited Edition","3.75""",77,55.0,Mint,,,,,,1,HDBC57671724,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
810337,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/810337"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671723"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1217446/Green_Ranger_with_Sword_of_Darkness_Vinyl_Art_Toys_a563aad1-9523-48b4-8826-ff1495a5872d.png,Green Ranger With Sword Of Darkness,,"Pop! Vinyl, Pop! Digital, Power Rangers X Funko Series 1",Funko,NFT Redeemable,889698701945,2022/8/23,"Exclusive, Limited Edition","3.75""",80,300.0,Mint,,,,,,1,HDBC57671723,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
634399,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/634399"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/70416487"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/875594/Donald_Duck_Art_Toys_446f9062-900f-47bf-85e1-eb322e822840.JPG,Donald Duck,Donald Duck,"Pop! Disney, Pop! Vinyl",Funko,Funko Hollywood,889698510363,2020,Exclusive,,984,20.0,Mint,,,,,,2,HDBC70416487,,,,,,Animation,2436243,,,2026-06-26,,Mint,Public,,
648697,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/648697"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/70416504"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1033969/Morty_with_Shrunken_Rick_Vinyl_Art_Toys_0c77be83-e904-4104-9356-0432b7c0cefe.png,Morty with Shrunken Rick,Morty with Shrunken Rick,"Pop! Animation, Pop! Vinyl, Funko Shop",Funko,,889698558747,2021,Exclusive,,958,23.0,Mint,,,,,,1,HDBC70416504,,,,,,Animation,2436243,,,2026-06-26,,Mint,Public,,
523132,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/523132"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/70416474"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1367315/Miguel_Vinyl_Art_Toys_c9a14e17-231d-4e0c-b9f2-01ea08f92884.png,Miguel (Diamond),Miguel (Diamond),"Pop! Disney, Pop! Vinyl, Diamond Collection",Funko,Hot Topic,889698408738,2019/10,Exclusive,"3.75""",303,21.0,Mint,,,,,,1,HDBC70416474,,,,,,Animation,2436243,,,2026-06-26,,Mint,Public,,
